country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,0.205,0.21,0.2,0.153,0.148,0.136,0.125,0.128,0.131,0.133,0.134,0.134
Albania,,,,,,,,,,,,,,,,,,,,,,0.475,1.01,0.67,0.468,0.188,0.15,0.224,0.238,0.235,0.313,0.285,0.265,0.269,0.218,0.259,0.275,0.271,0.329,0.389,0.461,0.503,0.604,0.698,0.647,0.751,0.725,0.771,0.672
Algeria,0.198,0.25,0.23,0.346,0.256,0.301,0.351,0.514,0.61,0.576,0.471,0.426,0.402,0.344,0.304,0.324,0.364,0.375,0.457,0.507,0.47,0.655,0.597,0.545,0.741,0.835,0.758,0.672,0.665,0.609,0.489,0.428,0.422,0.364,0.274,0.174,0.0526,0.0461,0.0368,0.0546,0.0451,0.0306,0.0269,0.0256,0.0264,0.0289,0.0345,0.0346,0.0322
Angola,,,,,,,,,,,,,,,,,,,,0.727,0.857,0.849,2.88,3.27,5.81,2.41,1.81,1.48,1.95,2.23,1.31,1.19,0.667,0.566,0.465,0.371,0.214,0.207,0.207,0.318,0.351,0.333,0.376,0.433,0.416,0.51,0.596,0.444,0.54
Argentina,0.194,0.189,0.202,0.14,0.107,0.149,0.186,0.207,0.234,0.309,0.358,0.466,0.553,0.47,0.654,0.611,0.497,0.554,0.489,0.933,0.462,0.357,0.306,0.277,0.296,0.39,0.417,0.447,0.485,0.55,0.542,0.585,1.6,1.33,1.15,0.742,0.529,0.432,0.368,0.414,0.309,0.277,0.262,0.277,0.297,0.303,0.346,0.378,0.561
Armenia,,,,,,,,,,,,,,,,,,,,,,,,0.121,0.163,0.253,0.317,0.367,0.412,0.538,0.518,0.646,0.698,0.688,0.572,0.386,0.32,0.318,0.292,0.548,0.649,0.706,0.692,0.735,0.704,0.812,0.924,0.861,0.875
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,0.00895,0.0341,0.106,0.141,0.129,0.159,0.284,0.318,0.282,0.289,0.284,0.272,0.194,0.153,0.14,0.103,0.111,0.146,0.125,0.165,0.15,0.166,0.263,0.417,0.396,0.364
Bangladesh,,,,0.0614,0.1,0.0864,0.197,0.243,0.213,0.191,0.209,0.204,0.262,0.295,0.285,0.288,0.356,0.392,0.378,0.364,0.381,0.411,0.413,0.415,0.445,0.402,0.318,0.287,0.302,0.311,0.283,0.269,0.293,0.295,0.29,0.255,0.266,0.255,0.237,0.23,0.216,0.196,0.197,0.196,0.179,0.175,0.166,0.181,0.182
Belarus,,,,,,,,,,,,,,,,,,,,,,,,0.0595,0.087,0.122,0.133,0.148,0.158,0.223,0.206,0.227,0.233,0.212,0.199,0.175,0.178,0.279,0.253,0.444,0.494,0.561,0.526,0.543,0.524,0.709,0.824,0.752,0.677
Belize,0.0793,0.0762,0.0803,0.065,0.0571,0.0456,0.104,0.184,0.257,0.49,0.322,0.31,0.394,0.539,0.478,0.583,0.541,0.499,0.421,0.382,0.353,0.372,0.36,0.359,0.358,0.427,0.458,0.713,0.508,0.601,0.808,0.897,0.982,1.18,1.03,1.02,0.965,0.95,1.06,1.04,1.04,0.917,0.829,0.838,0.827,0.784,0.78,0.801,0.768
