country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.000132,0.000246,0.000094,0.000156,,,0.0000157,-0.0000813,,0.000324,0.00247,0.0000517,,,,,,,,,,,,,,,,,,,,,0.0123,0.0128,0.0358,0.0436,0.0341,0.0194,0.00455,0.00451,0.012,0.00293,0.00284,0.00235,0.0021,0.0085,0.00483,0.00255,0.00613,0.00123
Albania,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.0307,0.0489,0.0282,0.0293,0.0282,0.021,0.0177,0.0128,0.0411,0.0529,0.031,0.0317,0.0475,0.0326,0.0365,0.0611,0.0968,0.112,0.0914,0.0814,0.0745,0.0982,0.0869,0.0869,0.0881,0.0786,0.0795,0.0791
Algeria,0.0165,0.000118,0.00614,0.00585,0.0271,0.00765,0.0105,0.00851,0.00513,0.000773,0.00823,0.000298,-0.00118,0.0000086,0.0000149,0.0000069,0.0000835,0.0000556,0.00022,0.000217,0.0000054,0.000255,0.000625,0,0,0,0.00575,0.0054,0.0126,0.006,0.00511,0.0203,0.0188,0.0094,0.0103,0.0112,0.0157,0.0125,0.0154,0.02,0.0143,0.0129,0.00718,0.00807,0.00703,-0.00324,0.0102,0.00717,0.00867,
Angola,,,,,,,,,,,0.00631,0.00884,0.0209,0.018,0.011,0.0368,0.0331,0.0147,0.0149,0.0196,-0.0298,0.0627,0.0347,0.0524,0.0384,0.0853,0.024,0.0538,0.171,0.402,0.0962,0.24,0.114,0.201,0.0933,-0.0353,-0.00072,-0.0137,0.019,0.0314,-0.0385,-0.027,-0.0114,-0.0521,0.0251,0.0863,-0.00178,-0.0606,-0.0637,-0.0433
Antigua and Barbuda,,,,,,,,0.0284,-0.0785,0.0779,0.149,0.152,0.14,0.0275,0.0211,0.0648,0.0778,0.114,0.0827,0.0982,0.132,0.114,0.0394,0.0285,0.0421,0.0545,0.0305,0.0337,0.0313,0.0676,0.0519,0.123,0.0809,0.194,0.0874,0.216,0.31,0.258,0.116,0.0659,0.0842,0.0573,0.108,0.114,0.037,0.0853,0.0678,0.107,0.0839,
Argentina,0.00284,0.00377,0.00206,0.00191,0.000247,0.00106,0.00478,0.00254,0.0043,0.00297,0.00881,0.0106,0.00269,0.00178,0.00339,0.0104,0.00517,-0.000171,0.00909,0.0134,0.013,0.0129,0.0194,0.0118,0.0141,0.0217,0.0255,0.0313,0.0244,0.0846,0.0367,0.00806,0.022,0.0129,0.0251,0.0265,0.0238,0.0225,0.0269,0.0121,0.0268,0.0204,0.0281,0.0178,0.00962,0.0198,0.00585,0.0179,0.0228,0.0139
Armenia,,,,,,,,,,,,,,,,,,,,,,,0.00189,0.000666,0.00608,0.0172,0.011,0.0317,0.123,0.0661,0.0545,0.033,0.0466,0.0438,0.0691,0.0596,0.0731,0.0725,0.0809,0.0879,0.0572,0.0644,0.0468,0.0311,0.035,0.0174,0.0316,0.0218,0.0204,0.0186
Australia,0.0216,0.0256,0.0203,0.00212,0.0149,0.00462,0.00998,0.0104,0.0142,0.0111,0.0125,0.0133,0.0118,0.0169,0.00222,0.0116,0.0295,0.0275,0.036,0.0268,0.0272,0.00803,0.0152,0.0171,0.0138,0.0361,0.0114,0.0186,0.019,0.00569,0.0359,0.0283,0.0371,0.0193,0.0701,-0.0362,0.041,0.0521,0.0428,0.0309,0.0307,0.0469,0.0372,0.0343,0.0431,0.0347,0.0356,0.0357,0.0434,0.0277
Austria,0.00733,0.00799,0.00659,0.00545,0.00503,0.00197,0.00212,0.00188,0.00229,0.00254,0.00292,0.00461,0.00292,0.003,0.0017,0.00244,0.00185,0.00319,0.00334,0.00437,0.00392,0.00207,0.00761,0.00591,0.0102,0.00757,0.0182,0.0125,0.0209,0.0137,0.0432,0.0288,0.000648,0.0237,0.0106,0.257,0.0313,0.177,0.0146,0.0357,-0.0562,0.0533,0.0127,0.00105,0.00387,-0.0209,-0.0732,0.0323,0.00927,0.0294
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,0.0000025,0.00664,0.108,0.197,0.281,0.23,0.111,0.0246,0.144,0.325,0.551,0.544,0.338,0.214,0.139,0.0816,0.0655,0.0634,0.068,0.076,0.0353,0.0589,0.0763,0.119,0.0702,0.0298,0.0313
